Header,Symbol,Instrument,Qty.,Avg. cost,yfType,yqType,Type,Basic EPS,Basic EPS,Basic EPS,Basic EPS
Sub-Header,,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
0,3IINFOTECH.BO,3IINFOTECH,50.0,49.04,EQ,EQ,EQ,4.2,2.42,-3.44,0.08
1,ASHOKLEY.NS,ASHOKLEY,3.0,144.65,EQ,EQ,EQ,1.15,-0.56,-1.22,4.23
2,CESC.NS,CESC,35.0,79.36,EQ,EQ,EQ,9.558,10.04,10.25,10.13
3,EXIDEIND.NS,EXIDEIND,2.0,165.23,EQ,EQ,EQ,9.14,9.53,51.38,9.68
4,FCONSUMER.NS,FCONSUMER,600.0,1.53,EQ,EQ,EQ,-1.13,-2.45,-1.9,-0.75
5,FCSSOFT.NS,FCSSOFT,200.0,1.7,EQ,EQ,EQ,-0.14,-0.07,-0.000306,0.009
6,GAYAHWS.NS,GAYAHWS,200.0,0.9,EQ,EQ,EQ,-10.812267,-13.73654,-5.9,-5.85
7,GTLINFRA.NS,GTLINFRA,600.0,1.3,EQ,EQ,EQ,-1.46,-0.99,-1.14,-1.41
8,HINDMOTORS.NS,HINDMOTORS,15.0,7.87,EQ,EQ,EQ,-0.04,0.18,0.89,0.002157
9,ITC.NS,ITC,1.0,209.75,EQ,EQ,EQ,12.47,10.7,12.37,15.5
10,JPASSOCIAT.NS,JPASSOCIAT,30.0,8.42,EQ,EQ,EQ,4.5,-2.72,-6.02,-5.47
11,JPPOWER.NS,JPPOWER,50.0,6.95,EQ,EQ,EQ,-3.01,0.25,0.098,0.05
12,MAHACORP.BO,MAHACORP,200.0,0.8,EQ,EQ,EQ,-0.005014,0.000371,-0.05,
13,ONEPOINT.NS,ONEPOINT-BE,15.0,11.32,EQ,EQ,EQ,-1.045333,-0.74,0.18,
14,PMCFIN.BO,PMCFIN,50.0,2.42,EQ,EQ,EQ,0.04,0.04,0.04,-0.12
15,PNB.NS,PNB,20.0,54.2,EQ,EQ,EQ,0.8,2.64,3.53,3.04
16,SEPOWER.NS,SEPOWER,50.0,20.0,EQ,EQ,EQ,-2.1,-1.8,-0.73,-0.41
17,TATASTEEL.NS,TATASTEEL,5.0,106.6,EQ,EQ,EQ,1.186,6.378,33.24,7.17
18,TATIAGLOB.BO,TATIAGLOB,300.0,1.38,EQ,EQ,EQ,-0.43,-0.42,-0.000956,
19,TTML.NS,TTML,5.0,36.0,EQ,EQ,EQ,-19.0,-10.21,-6.22,-5.86
20,TUNITEX.BO,TUNITEX,205.0,2.73,EQ,EQ,EQ,-0.023,0.01,0.021,
21,UNITECH.NS,UNITECH-BZ,25.0,1.9,EQ,EQ,EQ,-5.97,-7.56,-3.62,
22,WIPRO.NS,WIPRO,3.0,454.27,EQ,EQ,EQ,16.67,19.11,22.35,20.73
