Sl. No.,Instrument,Qty.,Avg. cost,Symbol,yfType,yqType,Type
0,3IINFOTECH,50.0,49.04,3IINFOTECH.BO,EQ,EQ,EQ
1,ASHOKLEY,3.0,144.65,ASHOKLEY.NS,EQ,EQ,EQ
2,CESC,35.0,79.36,CESC.NS,EQ,EQ,EQ
3,EBBETF0431,1.0,1040.49,EBBETF0431.NS,ETF,ETF,ETF
4,EXIDEIND,2.0,165.23,EXIDEIND.NS,EQ,EQ,EQ
5,FCONSUMER,600.0,1.53,FCONSUMER.NS,EQ,EQ,EQ
6,FCSSOFT,200.0,1.7,FCSSOFT.NS,EQ,EQ,EQ
7,GAYAHWS,200.0,0.9,GAYAHWS.NS,EQ,EQ,EQ
8,GOLDBEES,10.0,41.77,GOLDBEES.NS,ETF,ETF,ETF
9,GTLINFRA,600.0,1.3,GTLINFRA.NS,EQ,EQ,EQ
10,HINDMOTORS,15.0,7.87,HINDMOTORS.NS,EQ,EQ,EQ
11,ICICINF100,1.0,173.2,ICICINF100.NS,ETF,ETF,ETF
12,ICICINIFTY,1.0,167.0,ICICINIFTY.NS,ETF,ETF,ETF
13,ITC,1.0,209.75,ITC.NS,EQ,EQ,EQ
14,JPASSOCIAT,30.0,8.42,JPASSOCIAT.NS,EQ,EQ,EQ
15,JPPOWER,50.0,6.95,JPPOWER.NS,EQ,EQ,EQ
16,MAHACORP,200.0,0.8,MAHACORP.BO,EQ,EQ,EQ
17,NIFTYBEES,8.0,175.16,NIFTYBEES.NS,ETF,ETF,ETF
18,ONEPOINT-BE,15.0,11.32,ONEPOINT.NS,EQ,EQ,EQ
19,PMCFIN,50.0,2.42,PMCFIN.BO,EQ,EQ,EQ
20,PNB,20.0,54.2,PNB.NS,EQ,EQ,EQ
21,PSUBNKBEES,25.0,38.23,PSUBNKBEES.NS,ETF,ETF,ETF
22,SEPOWER,50.0,20.0,SEPOWER.NS,EQ,EQ,EQ
23,TATASTEEL,5.0,106.6,TATASTEEL.NS,EQ,EQ,EQ
24,TATIAGLOB,300.0,1.38,TATIAGLOB.BO,EQ,EQ,EQ
25,TTML,5.0,36.0,TTML.NS,EQ,EQ,EQ
26,TUNITEX,205.0,2.73,TUNITEX.BO,EQ,EQ,EQ
27,UNITECH-BZ,25.0,1.9,UNITECH.NS,EQ,EQ,EQ
28,WIPRO,3.0,454.27,WIPRO.NS,EQ,EQ,EQ
29,XYZ,,,XYZ,NF,NF,
